r_fighter,b_fighter
Scott Morris,Sean Daugherty
Royce Gracie,Patrick Smith
Royce Gracie,Remco Pardoel
Patrick Smith,Johnny Rhodes
Royce Gracie,Jason DeLucia
Remco Pardoel,Orlando Wiet
Johnny Rhodes,Fred Ettish
Patrick Smith,Ray Wizard
Royce Gracie,Minoki Ichihara
Johnny Rhodes,David Levicki
Frank Hamaker,Thaddeus Luster
Patrick Smith,Scott Morris
Remco Pardoel,Alberta Cerra Leon
Jason DeLucia,Scott Baker
Orlando Wiet,Robert Lucarelli
Keith Hackney,Emmanuel Yarborough
Ken Shamrock,Christophe Leninger
Harold Howard,Roland Payne
Royce Gracie,Kimo Leopoldo
Ken Shamrock,Felix Lee Mitchell
Steve Jennum,Harold Howard
Royce Gracie,Dan Severn
Dan Severn,Marcus Bossett
Royce Gracie,Keith Hackney
Dan Severn,Anthony Macias
Royce Gracie,Ron van Clief
Keith Hackney,Joe Son
Guy Mezger,Jason Fairn
Marcus Bossett,Eldo Xavier Dias
Joe Charles,Kevin Rosier
Steve Jennum,Melton Bowen
Dan Severn,Joe Charles
Dan Severn,Dave Beneteau
Dave Beneteau,Todd Medina
Oleg Taktarov,Ernie Verdicia
Dan Severn,Oleg Taktarov
Jon Hess,Andy Anderson
Guy Mezger,John Dowdy
Ken Shamrock,Royce Gracie
Dave Beneteau,Asbel Cancio
Todd Medina,Larry Cureton
Oleg Taktarov,David Abbott
Ken Shamrock,Dan Severn
Oleg Taktarov,Anthony Macias
David Abbott,Paul Varelans
Oleg Taktarov,Dave Beneteau
Patrick Smith,Rudyard Moncayo
Paul Varelans,Cal Worsham
David Abbott,John Matua
Anthony Macias,He-Man Gipson
Joel Sutton,Jack McGlaughlin
Marco Ruas,Paul Varelans
Marco Ruas,Remco Pardoel
Paul Varelans,Mark Hall
Marco Ruas,Larry Cureton
Remco Pardoel,Ryan Parker
Ken Shamrock,Oleg Taktarov
Paul Varelans,Gerry Harris
Scott Bessac,David Hood
Onassis Parungao,Francesco Maturi
Joel Sutton,Geza Kalman
Mark Hall,Harold Howard
Dan Severn,David Abbott
Oleg Taktarov,Marco Ruas
Oleg Taktarov,Dave Beneteau
Dan Severn,Oleg Taktarov
Dan Severn,Paul Varelans
David Abbott,Steve Jennum
Mark Hall,Trent Jenkins
Joe Charles,Scott Bessac
Marco Ruas,Keith Hackney
Don Frye,Gary Goodridge
Ken Shamrock,Kimo Leopoldo
Gary Goodridge,Jerry Bohlander
Don Frye,Sam Adkins
Gary Goodridge,Paul Herrera
Jerry Bohlander,Scott Ferrozzo
Paul Varelans,Joe Moreira
Don Frye,Thomas Ramirez
Sam Adkins,Keith Mielke
Dan Severn,Ken Shamrock
Don Frye,Amaury Bitetti
Mark Hall,Koji Kitao
Mark Schultz,Gary Goodridge
Rafael Carino,Matt Andersen
Cal Worsham,Zane Frazier
Steve Nelmark,Tai Bowden
Geza Kalman,Dieusel Berto
Sam Adkins,Felix Lee Mitchell
Don Frye,Mark Hall
Brian Johnston,Scott Fiedler
Mark Coleman,Moti Horenstein
Gary Goodridge,John Campetella
Don Frye,Brian Johnston
Mark Coleman,Gary Goodridge
Mark Coleman,Don Frye
Scott Ferrozzo,David Abbott
Mark Coleman,Brian Johnston
Jerry Bohlander,Fabio Gurgel
Roberto Traven,Dave Berry
Brian Johnston,Reza Nasri
Mark Coleman,Julian Sanchez
Scott Ferrozzo,Sam Fulton
David Abbott,Sam Adkins
Don Frye,David Abbott
David Abbott,Steve Nelmark
Don Frye,Mark Hall
Ken Shamrock,Brian Johnston
Kimo Leopoldo,Paul Varelans
David Abbott,Cal Worsham
Don Frye,Gary Goodridge
Tai Bowden,Jack Nilson
Steve Nelmark,Marcus Bossett
Mark Hall,Felix Lee Mitchell
Mark Coleman,Dan Severn
Vitor Belfort,Scott Ferrozzo
Jerry Bohlander,Nick Sanzo
Vitor Belfort,Tra Telligman
Nick Sanzo,Jackie Lee
Yoshiki Takahashi,Wallid Ismail
Jerry Bohlander,Rainy Martinez
Justin Martin,Eric Martin
Scott Ferrozzo,Jim Mullen
Guy Mezger,Tito Ortiz
Vitor Belfort,David Abbott
Randy Couture,Steven Graham
Randy Couture,Tony Halme
Guy Mezger,Christophe Leninger
Enson Inoue,Royce Alger
