event,date,location,r_fighter,b_fighter,status,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,method,method_detailed,round,time,r_career_fights,r_career_wins,r_career_losses,r_career_draws,r_career_str,r_career_td,r_career_kd,b_career_fights,b_career_wins,b_career_losses,b_career_draws,b_career_str,b_career_td,b_career_kd,r_career_win_rate,b_career_win_rate
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Scott Morris,Sean Daugherty,win,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Guillotine Choke,1.0,0:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie,Patrick Smith,win,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,1:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie,Remco Pardoel,win,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Gi Choke,1.0,1:31,1,1,0,0,4,1,0,0,0,0,0,0,0,0,1.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Patrick Smith,Johnny Rhodes,win,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,Open Weight,SUB,Guillotine Choke,1.0,1:07,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie,Jason DeLucia,win,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Open Weight,SUB,Armbar,1.0,1:07,2,2,0,0,4,2,0,0,0,0,0,0,0,0,1.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Remco Pardoel,Orlando Wiet,win,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Elbows,1.0,1:29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Johnny Rhodes,Fred Ettish,win,1.0,0.0,13.0,4.0,0.0,0.0,1.0,0.0,Open Weight,SUB,Bulldog Choke,1.0,3:07,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Patrick Smith,Ray Wizard,win,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Open Weight,SUB,Guillotine Choke,1.0,0:58,2,1,1,0,6,0,0,0,0,0,0,0,0,0,0.5,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Royce Gracie,Minoki Ichihara,win,0.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,Open Weight,SUB,Armbar,1.0,5:08,3,3,0,0,4,2,0,0,0,0,0,0,0,0,1.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Johnny Rhodes,David Levicki,win,0.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,12:13,2,1,1,0,17,0,1,0,0,0,0,0,0,0,0.5,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Frank Hamaker,Thaddeus Luster,win,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,Open Weight,SUB,Keylock,1.0,4:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Patrick Smith,Scott Morris,win,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,Open Weight,KO/TKO,Elbows,1.0,0:30,3,2,1,0,7,0,0,1,1,0,0,1,1,0,0.6666666666666666,1.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Remco Pardoel,Alberta Cerra Leon,win,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Ezekiel Choke,1.0,9:51,2,1,1,0,7,1,0,0,0,0,0,0,0,0,0.5,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Jason DeLucia,Scott Baker,win,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,Open Weight,SUB,Triangle Choke,1.0,6:41,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",Orlando Wiet,Robert Lucarelli,win,0.0,0.0,8.0,2.0,0.0,1.0,0.0,1.0,Open Weight,KO/TKO,,1.0,2:50,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Keith Hackney,Emmanuel Yarborough,win,1.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,1:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Ken Shamrock,Christophe Leninger,win,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,4:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Harold Howard,Roland Payne,win,1.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,0:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Royce Gracie,Kimo Leopoldo,win,0.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,Open Weight,SUB,Armbar,1.0,4:40,4,4,0,0,6,3,0,0,0,0,0,0,0,0,1.0,0.0
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Ken Shamrock,Felix Lee Mitchell,win,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Rear Naked Choke,1.0,4:34,1,1,0,0,8,1,0,0,0,0,0,0,0,0,1.0,0.0
UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",Steve Jennum,Harold Howard,win,0.0,0.0,6.0,2.0,1.0,0.0,0.0,1.0,Open Weight,KO/TKO,Punches,1.0,1:27,0,0,0,0,0,0,0,1,1,0,0,9,0,1,0.0,1.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Royce Gracie,Dan Severn,win,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,Open Weight,SUB,Triangle Choke,1.0,15:49,5,5,0,0,8,3,0,0,0,0,0,0,0,0,1.0,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Dan Severn,Marcus Bossett,win,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Arm Triangle,1.0,0:52,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0.0,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Royce Gracie,Keith Hackney,win,0.0,0.0,11.0,4.0,0.0,0.0,3.0,0.0,Open Weight,SUB,Armbar,1.0,5:32,6,6,0,0,8,3,0,1,1,0,0,34,0,1,1.0,1.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Dan Severn,Anthony Macias,win,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,Open Weight,SUB,Rear Naked Choke,1.0,1:45,2,1,1,0,4,2,0,0,0,0,0,0,0,0,0.5,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Royce Gracie,Ron van Clief,win,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Rear Naked Choke,1.0,3:49,7,7,0,0,19,3,0,0,0,0,0,0,0,0,1.0,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Keith Hackney,Joe Son,win,0.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,Open Weight,SUB,Other - Choke,1.0,2:44,2,1,1,0,38,0,1,0,0,0,0,0,0,0,0.5,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Guy Mezger,Jason Fairn,win,0.0,1.0,19.0,9.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,,1.0,2:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Marcus Bossett,Eldo Xavier Dias,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,,1.0,4:55,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Joe Charles,Kevin Rosier,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,SUB,Armbar,1.0,0:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",Steve Jennum,Melton Bowen,win,0.0,0.0,13.0,1.0,2.0,0.0,1.0,0.0,Open Weight,SUB,Armbar,1.0,4:47,1,1,0,0,6,1,0,0,0,0,0,0,0,0,1.0,0.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Dan Severn,Joe Charles,win,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Rear Naked Choke,1.0,1:38,3,2,1,0,4,4,0,1,1,0,0,0,0,0,0.6666666666666666,1.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Dan Severn,Dave Beneteau,win,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Keylock,1.0,3:01,4,3,1,0,6,5,0,0,0,0,0,0,0,0,0.75,0.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Dave Beneteau,Todd Medina,win,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,2:12,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Oleg Taktarov,Ernie Verdicia,win,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,Open Weight,SUB,Scarf Hold,1.0,2:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Dan Severn,Oleg Taktarov,win,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,,1.0,4:21,5,4,1,0,8,6,0,1,1,0,0,0,0,0,0.8,1.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Jon Hess,Andy Anderson,win,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,Open Weight,KO/TKO,Knees,1.0,1:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Guy Mezger,John Dowdy,win,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,2:02,1,1,0,0,19,1,0,0,0,0,0,0,0,0,1.0,0.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Ken Shamrock,Royce Gracie,draw,0.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,Open Weight,Other,,2.0,5:00,2,2,0,0,12,2,0,8,8,0,0,26,4,0,1.0,1.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Dave Beneteau,Asbel Cancio,win,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,,1.0,0:21,2,1,1,0,10,1,0,0,0,0,0,0,0,0,0.5,0.0
UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",Todd Medina,Larry Cureton,win,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Forearm Choke,1.0,2:55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Oleg Taktarov,David Abbott,win,0.0,0.0,4.0,17.0,0.0,2.0,4.0,1.0,Open Weight,SUB,Rear Naked Choke,1.0,17:45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Ken Shamrock,Dan Severn,win,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,Open Weight,SUB,Guillotine Choke,1.0,2:14,3,2,0,1,22,3,0,6,5,1,0,17,7,0,0.6666666666666666,0.8333333333333334
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Oleg Taktarov,Anthony Macias,win,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Open Weight,SUB,Guillotine Choke,1.0,0:09,3,2,1,0,4,0,0,1,0,1,0,8,0,0,0.6666666666666666,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",David Abbott,Paul Varelans,win,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,1:53,1,0,1,0,17,2,0,0,0,0,0,0,0,0,0.0,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Oleg Taktarov,Dave Beneteau,win,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,Open Weight,SUB,Guillotine Choke,1.0,0:57,4,3,1,0,4,0,0,3,2,1,0,22,2,0,0.75,0.6666666666666666
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Patrick Smith,Rudyard Moncayo,win,1.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,Open Weight,SUB,Rear Naked Choke,1.0,1:08,4,3,1,0,20,0,0,0,0,0,0,0,0,0,0.75,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Paul Varelans,Cal Worsham,win,1.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,Open Weight,KO/TKO,Elbow,1.0,1:02,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",David Abbott,John Matua,win,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,0:20,2,1,1,0,31,3,0,0,0,0,0,0,0,0,0.5,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Anthony Macias,He-Man Gipson,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,Headbutts,1.0,3:06,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",Joel Sutton,Jack McGlaughlin,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,Punches,1.0,2:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Marco Ruas,Paul Varelans,win,1.0,0.0,33.0,10.0,0.0,0.0,0.0,1.0,Open Weight,KO/TKO,Kicks,1.0,13:17,0,0,0,0,0,0,0,2,1,1,0,9,0,1,0.0,0.5
UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",Marco Ruas,Remco Pardoel,win,0.0,0.0,4.0,2.0,0.0,1.0,2.0,2.0,Open Weight,SUB,Other,1.0,12:27,1,1,0,0,33,0,1,3,2,1,0,11,2,0,1.0,0.6666666666666666
